product_category_name_english,product_category_name_italian
health_beauty,salute_bellezza
computers_accessories,informatica_accessori
auto,auto
bed_bath_table,letto_bagno_tavola
furniture_decor,mobili_decorazione
sports_leisure,sport_tempo_libero
perfumery,profumeria
housewares,articoli_per_la_casa
telephony,telefonia
watches_gifts,orologi_regali
food_drink,cibi_bevande
baby,neonati
stationery,cartoleria
tablets_printing_image,tablet_stampa_immagine
toys,giocattoli
fixed_telephony,telefonia_fissa
garden_tools,attrezzi_da_giardino
fashion_bags_accessories,moda_borse_accessori
small_appliances,piccoli_elettrodomestici
consoles_games,console_videogiochi
audio,audio
fashion_shoes,moda_calzature
cool_stuff,articoli_cool
luggage_accessories,valigie_accessori
air_conditioning,climatizzazione
construction_tools_construction,costruzione_attrezzi_edili
kitchen_dining_laundry_garden_furniture,mobili_cucina_lavanderia_sala_giardino
costruction_tools_garden,attrezzi_da_giardino_costruzione
fashion_male_clothing,moda_abbigliamento_uomo
pet_shop,negozio_animali
office_furniture,mobili_ufficio
market_place,marketplace
electronics,elettronica
home_appliances,elettrodomestici
party_supplies,articoli_per_feste
home_confort,casa_comfort
costruction_tools_tools,attrezzi_da_costruzione
agro_industry_and_commerce,agroindustria_e_commercio
furniture_mattress_and_upholstery,mobili_materassi_imbottiti
books_technical,libri_tecnici
home_construction,casa_costruzione
musical_instruments,strumenti_musicali
furniture_living_room,mobili_soggiorno
construction_tools_lights,illuminazione_costruzione
industry_commerce_and_business,industria_commercio_affari
food,alimenti
art,arte
furniture_bedroom,mobili_camera_da_letto
books_general_interest,libri_interesse_generale
construction_tools_safety,sicurezza_costruzione
fashion_underwear_beach,intimo_costumi_da_bagno
fashion_sport,moda_sport
signaling_and_security,segnaletica_sicurezza
computers,computer
christmas_supplies,articoli_natalizi
fashio_female_clothing,moda_abbigliamento_donna
home_appliances_2,elettrodomestici_2
books_imported,libri_importati
drinks,bevande
cine_photo,foto_video
la_cuisine,la_cuisine
music,musica
home_comfort_2,casa_comfort_2
small_appliances_home_oven_and_coffee,piccoli_elettrodomestici_casa_forno_caffe
cds_dvds_musicals,cd_dvd_musicali
dvds_blu_ray,dvd_blu_ray
flowers,fiori
arts_and_craftmanship,arti_e_artigianato
diapers_and_hygiene,pannolini_igiene
fashion_childrens_clothes,moda_abbigliamento_bambini
security_and_services,sicurezza_e_servizi
